keyword,collocate,raw_frequency,MI
season,lenten,1,9.966092881410788
season,troopin',1,9.966092881410788
season,'close',1,9.966092881410788
season,supremest,1,9.272945700850842
season,dryest,1,8.579798520290897
season,malting,1,8.356654968976686
season,pasturing,1,8.356654968976686
season,blossoming,5,8.243326283669683
season,lambing,2,8.094290704509195
season,insufficiently,1,8.020182732355474
season,ductile,1,8.020182732355474
season,rainy,12,8.00834827470847
season,driest,1,7.886651339730951
season,unfashionable,1,7.568197608612416
season,busiest,1,7.4011435239492505
season,inclement,1,7.4011435239492505
season,culminated,1,7.327035551795528
season,grouse,2,7.193504159171005
season,dree,1,7.075721123514622
season,tha'rt,1,6.875050428052471
season,'stand,1,6.747217056542586
season,yachting,1,6.707996343389305
season,forbids,1,6.670256015406458
season,hunting,15,6.636272162590859
season,shearing,1,6.564895499748632
season,sociable,1,6.277213427296851
season,ef,1,6.252520814706479
season,cheerless,1,6.228423263127419
season,leafless,2,6.2165888054804155
season,bowling,1,6.204892765717225
season,wretchedly,1,6.137451484921692
season,festive,1,6.137451484921692
season,'lady,1,6.115945279700728
season,fertile,1,6.05406987598264
season,untimely,1,6.05406987598264
season,quickening,1,6.01484916282936
season,foggy,1,6.01484916282936
season,bloomed,1,6.01484916282936
season,shooting,7,5.993109176192954
season,wintry,2,5.986411227508826
season,advent,1,5.855219017237475
season,allows,1,5.807209798051115
season,transient,1,5.807209798051115
season,arrives,1,5.776438139384362
season,midsummer,1,5.717597639361427
season,cricket,1,5.703413004369471
season,agricultural,1,5.648604767874477
season,slack,1,5.5472522736141885
season,barbarous,1,5.535276082567473
season,due,9,5.421616764094952
season,impulsive,1,5.30265378729872
season,xiv,1,5.238705062698446
season,february,1,5.186969388299257
season,convenient,2,5.1179765168123055
season,sickly,1,5.11406261749117
season,perilous,1,5.010265823809526
season,autumn,3,5.000919961391288
season,london,32,4.994328361703524
season,winter,6,4.953237830576218
season,holiday,3,4.9444077511279465
season,parliamentary,1,4.909847076062479
season,suits,1,4.89091906617696
season,aristocratic,1,4.884688516426324
season,holidays,1,4.872342680604024
season,ending,1,4.848099068994031
